check_name,severity,entity_type,entity_id,group_id,competition_id,details
club_coverage_gap,warning,team,-9518134,,,"team was selected as a club's representative but no fichaequipo profile was fetched (fetch failure, empty page, or missing codigo_club)"
club_coverage_gap,warning,team,-9520424,,,"team was selected as a club's representative but no fichaequipo profile was fetched (fetch failure, empty page, or missing codigo_club)"
club_coverage_gap,warning,team,17155544,,,"team was selected as a club's representative but no fichaequipo profile was fetched (fetch failure, empty page, or missing codigo_club)"
club_coverage_gap,warning,team,18439756,,,"team was selected as a club's representative but no fichaequipo profile was fetched (fetch failure, empty page, or missing codigo_club)"
club_coverage_gap,warning,team,3359955,,,"team was selected as a club's representative but no fichaequipo profile was fetched (fetch failure, empty page, or missing codigo_club)"
redundant_club_target,info,club,1031879,,,"2 target teams resolved to the same club_id; representative_team_ids ['6827065', '2722675']; deduped in the published clubs.csv, keeping the first-fetched row"
redundant_club_target,info,club,1037,,,"2 target teams resolved to the same club_id; representative_team_ids ['256', '266']; deduped in the published clubs.csv, keeping the first-fetched row"
redundant_club_target,info,club,1052,,,"2 target teams resolved to the same club_id; representative_team_ids ['357', '411597']; deduped in the published clubs.csv, keeping the first-fetched row"
redundant_club_target,info,club,1054,,,"2 target teams resolved to the same club_id; representative_team_ids ['370', '7582454']; deduped in the published clubs.csv, keeping the first-fetched row"
redundant_club_target,info,club,1070,,,"6 target teams resolved to the same club_id; representative_team_ids ['407', '7191987', '7828938', '3986427', '846739', '10333047']; deduped in the published clubs.csv, keeping the first-fetched row"
redundant_club_target,info,club,1120,,,"3 target teams resolved to the same club_id; representative_team_ids ['503', '1074543', '1032349']; deduped in the published clubs.csv, keeping the first-fetched row"
redundant_club_target,info,club,1167,,,"2 target teams resolved to the same club_id; representative_team_ids ['590', '6814129']; deduped in the published clubs.csv, keeping the first-fetched row"
redundant_club_target,info,club,1186,,,"3 target teams resolved to the same club_id; representative_team_ids ['623', '847002', '10339299']; deduped in the published clubs.csv, keeping the first-fetched row"
redundant_club_target,info,club,1223,,,"3 target teams resolved to the same club_id; representative_team_ids ['704', '6818315', '705']; deduped in the published clubs.csv, keeping the first-fetched row"
redundant_club_target,info,club,1242,,,"2 target teams resolved to the same club_id; representative_team_ids ['708', '6813039']; deduped in the published clubs.csv, keeping the first-fetched row"
redundant_club_target,info,club,1330,,,"2 target teams resolved to the same club_id; representative_team_ids ['785', '680085']; deduped in the published clubs.csv, keeping the first-fetched row"
redundant_club_target,info,club,1596,,,"3 target teams resolved to the same club_id; representative_team_ids ['885', '886', '8958845']; deduped in the published clubs.csv, keeping the first-fetched row"
redundant_club_target,info,club,1610,,,"2 target teams resolved to the same club_id; representative_team_ids ['905', '300188']; deduped in the published clubs.csv, keeping the first-fetched row"
redundant_club_target,info,club,16660312,,,"2 target teams resolved to the same club_id; representative_team_ids ['17145330', '18311453']; deduped in the published clubs.csv, keeping the first-fetched row"
redundant_club_target,info,club,16660328,,,"2 target teams resolved to the same club_id; representative_team_ids ['18439661', '17145443']; deduped in the published clubs.csv, keeping the first-fetched row"
redundant_club_target,info,club,16660352,,,"2 target teams resolved to the same club_id; representative_team_ids ['18408381', '18408379']; deduped in the published clubs.csv, keeping the first-fetched row"
redundant_club_target,info,club,16660353,,,"3 target teams resolved to the same club_id; representative_team_ids ['17145487', '17145541', '17155809']; deduped in the published clubs.csv, keeping the first-fetched row"
redundant_club_target,info,club,16660363,,,"5 target teams resolved to the same club_id; representative_team_ids ['17145515', '17146979', '17149226', '17145908', '17271535']; deduped in the published clubs.csv, keeping the first-fetched row"
redundant_club_target,info,club,16660377,,,"2 target teams resolved to the same club_id; representative_team_ids ['18439570', '17147899']; deduped in the published clubs.csv, keeping the first-fetched row"
redundant_club_target,info,club,16660378,,,"2 target teams resolved to the same club_id; representative_team_ids ['18311657', '17145600']; deduped in the published clubs.csv, keeping the first-fetched row"
redundant_club_target,info,club,16660476,,,"2 target teams resolved to the same club_id; representative_team_ids ['17145415', '17146831']; deduped in the published clubs.csv, keeping the first-fetched row"
redundant_club_target,info,club,16660483,,,"2 target teams resolved to the same club_id; representative_team_ids ['17145894', '17149180']; deduped in the published clubs.csv, keeping the first-fetched row"
redundant_club_target,info,club,16660543,,,"2 target teams resolved to the same club_id; representative_team_ids ['17158160', '17148794']; deduped in the published clubs.csv, keeping the first-fetched row"
redundant_club_target,info,club,16660575,,,"2 target teams resolved to the same club_id; representative_team_ids ['17149207', '18439465']; deduped in the published clubs.csv, keeping the first-fetched row"
redundant_club_target,info,club,16660608,,,"3 target teams resolved to the same club_id; representative_team_ids ['18378416', '17149318', '17271081']; deduped in the published clubs.csv, keeping the first-fetched row"
redundant_club_target,info,club,16660761,,,"3 target teams resolved to the same club_id; representative_team_ids ['18407621', '17271027', '17271026']; deduped in the published clubs.csv, keeping the first-fetched row"
redundant_club_target,info,club,16660857,,,"2 target teams resolved to the same club_id; representative_team_ids ['17270486', '18346501']; deduped in the published clubs.csv, keeping the first-fetched row"
redundant_club_target,info,club,16660859,,,"4 target teams resolved to the same club_id; representative_team_ids ['17149263', '17156061', '17156050', '17156054']; deduped in the published clubs.csv, keeping the first-fetched row"
redundant_club_target,info,club,16660892,,,"3 target teams resolved to the same club_id; representative_team_ids ['18346140', '18346139', '17149731']; deduped in the published clubs.csv, keeping the first-fetched row"
redundant_club_target,info,club,16661043,,,"2 target teams resolved to the same club_id; representative_team_ids ['17155607', '17147884']; deduped in the published clubs.csv, keeping the first-fetched row"
redundant_club_target,info,club,16661148,,,"6 target teams resolved to the same club_id; representative_team_ids ['18405961', '18405555', '18464081', '18405557', '18405559', '18405558']; deduped in the published clubs.csv, keeping the first-fetched row"
redundant_club_target,info,club,16661192,,,"2 target teams resolved to the same club_id; representative_team_ids ['17149302', '17149691']; deduped in the published clubs.csv, keeping the first-fetched row"
redundant_club_target,info,club,16661251,,,"2 target teams resolved to the same club_id; representative_team_ids ['17155786', '18456454']; deduped in the published clubs.csv, keeping the first-fetched row"
redundant_club_target,info,club,16661253,,,"2 target teams resolved to the same club_id; representative_team_ids ['18377727', '17149640']; deduped in the published clubs.csv, keeping the first-fetched row"
redundant_club_target,info,club,16661270,,,"2 target teams resolved to the same club_id; representative_team_ids ['17149621', '17149619']; deduped in the published clubs.csv, keeping the first-fetched row"
redundant_club_target,info,club,16661285,,,"2 target teams resolved to the same club_id; representative_team_ids ['17274002', '17155995']; deduped in the published clubs.csv, keeping the first-fetched row"
redundant_club_target,info,club,16669765,,,"4 target teams resolved to the same club_id; representative_team_ids ['18345701', '17155700', '18346338', '17210304']; deduped in the published clubs.csv, keeping the first-fetched row"
